Experiment_no,Dataset,Model,Train RMSE,Train R2,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,Validate RMSE,Validate R2
0,m,baseline,0.3441,0.5117,0.3348,0.5344,0.3857,0.5923,36.099,16,0.3366,0.5265
1,m,FCNN,0.2308,0.7844,0.2224,0.8005,0.2993,0.7268,80.999,17,0.2240,0.7967
3,m,LTRCNN,0.1425,0.9165,0.1441,0.9137,0.2070,0.8329,746.165,36,0.1441,0.9132
4,m,senet,0.1348,0.9254,0.1369,0.9224,0.2051,0.8512,1098.560,60,0.1375,0.9210
5,m,resnet,0.1350,0.9254,0.1367,0.9229,0.1945,0.8508,907.382,53,0.1388,0.9197
6,m,senet_em,0.1237,0.9375,0.1407,0.9177,0.2037,0.8497,1471.377,51,0.1404,0.9177
7,d,baseline,0.3575,0.4795,0.3462,0.5048,0.4043,0.5381,41.483,10,0.3463,0.5061
8,d,FCNN,0.2312,0.7835,0.2228,0.7980,0.2568,0.8096,243.970,27,0.2236,0.7970
10,d,LTRCNN,0.1398,0.9198,0.1472,0.9092,0.1178,0.9596,1574.319,40,0.1458,0.9111
11,d,senet,0.1402,0.9193,0.1417,0.9162,0.1387,0.9346,1963.983,57,0.1409,0.9175
12,d,resnet,0.1394,0.9200,0.1425,0.9151,0.1289,0.9523,1620.035,51,0.1420,0.9160
13,d,senet_em,0.1313,0.9295,0.1503,0.9052,0.1853,0.8600,2229.353,41,0.1501,0.9058
14,d_ns,senet,0.1322,0.9277,0.1324,0.9266,0.1406,0.9240,877.611,52,0.1318,0.9277
15,d_ns_na,senet,0.1368,0.9222,0.1439,0.9134,0.1221,0.9565,261.451,25,0.1433,0.9146
16,d_na,senet,0.1232,0.9374,0.1361,0.9223,0.1263,0.9540,1173.903,57,0.1353,0.9235
17,d_ns,senet_em,0.1273,0.9333,0.1334,0.9257,0.1420,0.9283,983.544,35,0.1368,0.9224
18,d_ns_na,senet_em,0.1062,0.9533,0.1242,0.9351,0.1275,0.9522,934.039,56,0.1254,0.9345
19,d_na,senet_em,0.1160,0.9448,0.1427,0.9145,0.1422,0.9261,1772.230,54,0.1436,0.9134
20,d,senet,0.1440,0.9148,0.1441,0.9137,0.1316,0.9514,1366.434,40,0.1439,0.9140
20,d,senet,0.1401,0.9193,0.1434,0.9142,0.1316,0.9514,2068.972,57,0.1443,0.9133
21,d,resnet,0.1460,0.9122,0.1437,0.9139,0.1512,0.9121,1026.971,32,0.1429,0.9153
23,d,senet,0.1390,0.9208,0.1423,0.9156,0.1300,0.9508,1772.847,49,0.1416,0.9170
25,d,senet,0.1283,0.9325,0.1358,0.9227,0.1233,0.9518,3053.207,59,0.1359,0.9225
26,d,senet,0.1382,0.9216,0.1412,0.9168,0.1510,0.9120,1904.204,52,0.1412,0.9168
24,d,resnet,0.1412,0.9179,0.1417,0.9161,0.1227,0.9570,1458.499,42,0.1407,0.9176
27,d,cnn_bilstm,0.1388,0.9206,0.1406,0.9172,0.1488,0.9165,1032.578,41,0.1405,0.9174
28,d,bilstm,0.1275,0.9339,0.1444,0.9126,0.1149,0.9615,833.268,25,0.1465,0.9103
29,d,bilstm,0.1289,0.9321,0.1463,0.9098,0.1323,0.9465,603.575,22,0.1441,0.9129
30,d,lstm,0.1404,0.9196,0.1505,0.9056,0.1616,0.9013,563.984,29,0.1509,0.9056
32,d,lstm,0.1337,0.9270,0.1492,0.9072,0.1436,0.9259,629.009,20,0.1479,0.9089
33,m,lstm,0.1348,0.9261,0.1450,0.9137,0.2352,0.7930,313.905,30,0.1445,0.9133
34,m,cnn_bilstm,0.1360,0.9242,0.1385,0.9209,0.1942,0.8581,555.010,42,0.1401,0.9180
32,d,lstm,0.1231,0.9384,0.1448,0.9121,0.1436,0.9259,1193.625,39,0.1444,0.9131
35,m,bisltm,0.1169,0.9444,0.1370,0.9222,,,566.985,40,0.1379,0.9206
36,m,lstm,0.1248,0.9367,0.1407,0.9183,0.2638,0.7577,479.899,29,0.1400,0.9185
